player_id,given_name,family_name,count_tournaments,list_tournaments,list_teams_name,list_teams_code,teams_num,full_name
P-05962,Luis Ernesto,Michel,1,2010,['Mexico'],['MEX'],1,Luis Ernesto Michel
P-06153,Niek,Michel,1,1938,['Netherlands'],['NLD'],1,Niek Michel
P-07343,not applicable,Míchel,2,"1986, 1990",['Spain'],['ESP'],1,not applicable Míchel
P-01265,Johan,Micoud,1,2002,['France'],['FRA'],1,Johan Micoud
P-01093,Ramón,Mifflin,1,1970,['Peru'],['PER'],1,Ramón Mifflin
P-08527,Václav,Migas,1,1970,['Czechoslovakia'],['CSK'],1,Václav Migas
P-07026,Simon,Mignolet,3,"2014, 2018, 2022",['Belgium'],['BEL'],1,Simon Mignolet
P-06778,not applicable,Miguel,2,"2006, 2010",['Portugal'],['PRT'],1,not applicable Miguel
P-01175,not applicable,Migueli,1,1978,['Spain'],['ESP'],1,not applicable Migueli
P-01364,Oscar,Míguez,2,"1950, 1954",['Uruguay'],['URY'],1,Oscar Míguez
P-06247,Atanas,Mihailov,1,1974,['Bulgaria'],['BGR'],1,Atanas Mihailov
P-03496,Dragoslav,Mihajlović,1,1930,['Yugoslavia'],['YUG'],1,Dragoslav Mihajlović
P-08231,Prvoslav,Mihajlović,1,1950,['Yugoslavia'],['YUG'],1,Prvoslav Mihajlović
P-09981,Siniša,Mihajlović,1,1998,['Yugoslavia'],['YUG'],1,Siniša Mihajlović
P-05496,Gheorghe,Mihali,1,1994,['Romania'],['ROU'],1,Gheorghe Mihali
P-04122,Borislav,Mihaylov,3,"1986, 1994, 1998",['Bulgaria'],['BGR'],1,Borislav Mihaylov
P-09785,Petar,Mihtarski,1,1994,['Bulgaria'],['BGR'],1,Petar Mihtarski
P-00414,Predrag,Mijatović,1,1998,['Yugoslavia'],['YUG'],1,Predrag Mijatović
P-02057,Kees,Mijnders,1,1934,['Netherlands'],['NLD'],1,Kees Mijnders
P-04873,John Obi,Mikel,2,"2014, 2018",['Nigeria'],['NGA'],1,John Obi Mikel
P-09200,Luděk,Mikloško,1,1990,['Czechoslovakia'],['CSK'],1,Luděk Mikloško
P-08582,Sebastian,Mila,1,2006,['Poland'],['POL'],1,Sebastian Mila
P-03667,Kiril,Milanov,1,1974,['Bulgaria'],['BGR'],1,Kiril Milanov
P-05511,Denis,Milar,1,1974,['Uruguay'],['URY'],1,Denis Milar
P-08251,Jackie,Milburn,1,1950,['England'],['ENG'],1,Jackie Milburn
P-08544,Håkan,Mild,1,1994,['Sweden'],['SWE'],1,Håkan Mild
P-01024,Nikola,Milenković,2,"2018, 2022",['Serbia'],['SRB'],1,Nikola Milenković
P-08531,Artem,Milevskyi,1,2006,['Ukraine'],['UKR'],1,Artem Milevskyi
P-04507,Nenad,Milijaš,1,2010,['Serbia'],['SRB'],1,Nenad Milijaš
P-03781,Arkadiusz,Milik,2,"2018, 2022",['Poland'],['POL'],1,Arkadiusz Milik
P-06611,Sergej,Milinković-Savić,2,"2018, 2022",['Serbia'],['SRB'],1,Sergej Milinković-Savić
P-08842,Vanja,Milinković-Savić,1,2022,['Serbia'],['SRB'],1,Vanja Milinković-Savić
P-06777,Željko,Milinovič,1,2002,['Slovenia'],['SVN'],1,Željko Milinovič
P-05093,Jim,Milisavljevic,1,1974,['Australia'],['AUS'],1,Jim Milisavljevic
P-02510,Éder,Militão,1,2022,['Brazil'],['BRA'],1,Éder Militão
